030 dc81 2022 03 16 12 13 23
time,latitude,longitude,accuracy,private
51.4,52.020017,4.268614,24.0,P
52.2,52.020016,4.268613,12.0,P
53.2,52.020016,4.268613,12.0,P
54.1,52.020016,4.268613,12.0,P
55.2,52.020016,4.268613,12.0,P
56.1,52.020016,4.268613,12.0,P
57.0,52.020016,4.268613,12.0,P
58.1,52.020016,4.268613,12.0,P
59.1,52.020016,4.268613,12.0,P
60.1,52.020016,4.268613,12.0,P
61.1,52.020016,4.268613,12.0,P
62.1,52.020016,4.268613,12.0,P
63.1,52.020016,4.268613,12.0,P
64.1,52.020016,4.268613,12.0,P
65.1,52.020016,4.268613,12.0,P
66.1,52.020016,4.268613,12.0,P
67.1,52.020016,4.268613,12.0,P
68.1,52.020016,4.268613,12.0,P
69.2,52.020016,4.268613,12.0,P
70.2,52.020016,4.268613,12.0,P
71.1,52.020016,4.268613,12.0,P
72.1,52.020016,4.268613,12.0,P
73.1,52.020016,4.268613,12.0,P
74.1,52.020016,4.268613,12.0,P
75.1,52.020016,4.268613,12.0,P
76.1,52.020016,4.268613,8.0,P
77.2,52.020016,4.268613,8.0,P
78.1,52.020016,4.268613,8.0,P
79.1,52.020016,4.268613,8.0,P
80.5,52.020016,4.268613,8.0,P
81.1,52.020016,4.268613,8.0,P
82.2,52.020016,4.268613,8.0,P
83.1,52.020016,4.268613,8.0,P
84.1,52.020016,4.268613,8.0,P
85.2,52.020016,4.268613,8.0,P
86.1,52.020016,4.268613,8.0,P
87.1,52.020016,4.268613,8.0,P
88.1,52.020016,4.268613,8.0,P
89.3,52.020016,4.268613,8.0,P
90.2,52.020016,4.268613,8.0,P
91.1,52.020016,4.268613,8.0,P
92.1,52.020016,4.268613,8.0,P
93.2,52.020016,4.268613,8.0,P
94.1,52.020016,4.268613,8.0,P
95.1,52.020016,4.268613,8.0,P
96.1,52.020016,4.268613,8.0,P
97.1,52.020016,4.268613,8.0,P
98.1,52.020016,4.268613,8.0,P
99.1,52.020016,4.268613,8.0,P
100.2,52.020016,4.268613,8.0,P
101.1,52.020016,4.268613,8.0,P
102.1,52.020016,4.268613,8.0,P
103.1,52.020016,4.268613,8.0,P
104.3,52.020016,4.268613,8.0,P
105.1,52.020016,4.268613,8.0,P
106.3,52.020016,4.268613,8.0,P
107.2,52.020016,4.268613,8.0,P
108.1,52.020016,4.268613,8.0,P
109.3,52.020016,4.268613,8.0,P
110.1,52.020016,4.268613,8.0,P
111.1,52.020016,4.268613,8.0,P
112.1,52.020016,4.268613,8.0,P
113.1,52.020016,4.268613,8.0,P
114.1,52.020016,4.268613,8.0,P
115.1,52.020016,4.268613,8.0,P
116.1,52.020016,4.268613,8.0,P
117.1,52.020016,4.268613,8.0,P
118.1,52.020016,4.268613,8.0,P
119.1,52.020016,4.268613,6.0,P
120.1,52.020016,4.268613,6.0,P
121.1,52.020016,4.268613,6.0,P
122.1,52.020016,4.268613,6.0,P
123.1,52.020016,4.268613,6.0,P
124.1,52.020016,4.268613,6.0,P
125.2,52.020016,4.268613,6.0,P
126.1,52.020016,4.268613,6.0,P
127.1,52.020016,4.268613,6.0,P
128.1,52.020016,4.268613,6.0,P
129.2,52.020016,4.268613,6.0,P
130.1,52.020016,4.268613,6.0,P
131.2,52.020016,4.268613,6.0,P
132.1,52.020016,4.268613,6.0,P
133.3,52.020016,4.268613,6.0,P
134.1,52.020016,4.268613,6.0,P
135.2,52.020016,4.268613,6.0,P
136.1,52.020016,4.268613,6.0,P
137.2,52.020016,4.268613,6.0,P
138.2,52.020016,4.268613,6.0,P
139.2,52.020016,4.268613,6.0,P
140.1,52.020016,4.268613,6.0,P
141.1,52.020016,4.268613,6.0,P
142.1,52.020016,4.268613,6.0,P
143.2,52.020016,4.268613,6.0,P
144.1,52.020016,4.268613,6.0,P
145.2,52.020016,4.268613,6.0,P
146.1,52.020016,4.268613,6.0,P
147.1,52.020016,4.268613,6.0,P
148.1,52.020016,4.268613,6.0,P
149.2,52.020016,4.268613,6.0,P
150.1,52.020016,4.268613,6.0,P
151.1,52.020016,4.268613,6.0,P
152.1,52.020016,4.268613,6.0,P
153.1,52.020016,4.268613,6.0,P
154.1,52.020016,4.268613,6.0,P
155.1,52.020016,4.268613,6.0,P
156.1,52.020016,4.268613,6.0,P
