051 dc81 2022 03 16 12 41 33
time, latitude, longitude, accuracy, private
163.7,52.020029,4.268609,4.0,P
164.8,52.020024,4.268629,3.0,P
165.8,52.020021,4.268645,3.0,P
166.7,52.020014,4.268656,3.0,P
167.7,52.020013,4.268669,3.0,P
168.9,52.020012,4.268685,3.0,P
169.7,52.020013,4.268685,3.0,P
170.9,52.020018,4.268676,3.0,P
171.7,52.020023,4.268663,3.0,P
172.7,52.020028,4.268651,3.0,P
173.8,52.020030,4.268640,3.0,P
174.7,52.020033,4.268620,3.0,P
175.7,52.020038,4.268599,3.0,P
176.8,52.020043,4.268579,4.0,P
177.7,52.020047,4.268560,4.0,P
178.7,52.020053,4.268543,4.0,P
179.7,52.020060,4.268526,4.0,P
180.7,52.020066,4.268513,4.0,P
181.8,52.020070,4.268493,4.0,P
182.7,52.020076,4.268484,4.0,P
183.7,52.020082,4.268502,3.0,P
184.7,52.020083,4.268518,3.0,P
185.7,52.020081,4.268546,3.0,P
186.7,52.020075,4.268567,3.0,P
187.7,52.020064,4.268593,3.0,P
188.7,52.020055,4.268613,3.0,P
189.7,52.020045,4.268633,3.0,P
190.7,52.020037,4.268647,3.0,P
191.7,52.020030,4.268665,3.0,P
192.7,52.020019,4.268678,3.0,P
193.7,52.020011,4.268690,3.0,P
194.7,52.020006,4.268699,3.0,P
195.7,52.020009,4.268695,3.0,P
196.7,52.020012,4.268684,3.0,P
197.7,52.020017,4.268664,3.0,P
198.8,52.020025,4.268648,3.0,P
199.7,52.020033,4.268628,4.0,P
200.8,52.020040,4.268606,4.0,P
201.7,52.020048,4.268585,4.0,P
202.7,52.020054,4.268565,4.0,P
203.7,52.020061,4.268551,4.0,P
204.7,52.020076,4.268546,4.0,P
205.7,52.020079,4.268518,4.0,P
206.7,52.020083,4.268511,4.0,P
207.8,52.020089,4.268526,4.0,P
208.7,52.020090,4.268538,4.0,P
209.8,52.020092,4.268556,4.0,P
210.7,52.020081,4.268580,4.0,P
211.7,52.020071,4.268601,3.0,P
212.7,52.020063,4.268620,3.0,P
213.7,52.020056,4.268639,3.0,P
214.7,52.020047,4.268656,3.0,P
215.7,52.020040,4.268670,3.0,P
216.7,52.020031,4.268680,3.0,P
217.7,52.020022,4.268692,3.0,P
218.8,52.020015,4.268700,3.0,P
219.7,52.020013,4.268699,3.0,P
