010 dc81 2022 03 16 12 12 56
time,latitude,longitude,accuracy,private
210.1,52.020076,4.268619,4.0,P
211.1,52.020076,4.268619,4.0,P
212.1,52.020076,4.268619,6.0,P
213.1,52.020076,4.268619,6.0,P
214.1,52.020076,4.268619,6.0,P
215.0,52.020076,4.268619,6.0,P
216.1,52.020076,4.268619,4.0,P
217.1,52.020076,4.268619,6.0,P
218.1,52.020076,4.268619,6.0,P
219.0,52.020076,4.268619,6.0,P
220.1,52.020076,4.268619,6.0,P
221.0,52.020105,4.268677,4.0,P
222.1,52.020105,4.268677,4.0,P
223.1,52.020105,4.268677,4.0,P
224.3,52.020105,4.268677,4.0,P
225.0,52.020105,4.268677,4.0,P
226.1,52.020105,4.268677,4.0,P
227.1,52.020105,4.268677,4.0,P
228.1,52.020105,4.268677,4.0,P
229.1,52.020105,4.268677,4.0,P
230.1,52.020105,4.268677,4.0,P
231.2,52.020105,4.268677,4.0,P
232.0,52.020105,4.268677,4.0,P
233.0,52.020105,4.268677,4.0,P
234.1,52.020105,4.268677,4.0,P
235.1,52.020105,4.268677,4.0,P
236.2,52.020105,4.268677,4.0,P
237.1,52.020105,4.268677,4.0,P
238.1,52.020105,4.268677,4.0,P
239.1,52.020105,4.268677,4.0,P
240.1,52.020105,4.268677,4.0,P
241.3,52.020105,4.268677,4.0,P
242.1,52.020105,4.268677,4.0,P
243.1,52.020105,4.268677,4.0,P
244.1,52.020105,4.268677,4.0,P
245.1,52.020105,4.268677,4.0,P
246.1,52.020105,4.268677,4.0,P
247.1,52.020105,4.268677,4.0,P
248.1,52.020105,4.268677,4.0,P
249.1,52.020105,4.268677,4.0,P
250.2,52.020105,4.268677,4.0,P
251.1,52.020105,4.268677,4.0,P
252.1,52.020105,4.268677,4.0,P
253.2,52.020105,4.268677,4.0,P
254.1,52.020105,4.268677,4.0,P
255.1,52.020105,4.268677,4.0,P
256.0,52.020105,4.268677,4.0,P
257.2,52.020105,4.268677,4.0,P
258.1,52.020105,4.268677,4.0,P
259.3,52.020105,4.268677,4.0,P
260.1,52.020105,4.268677,4.0,P
261.1,52.020105,4.268677,4.0,P
262.1,52.020105,4.268677,4.0,P
263.0,52.020105,4.268677,4.0,P
264.1,52.020105,4.268677,4.0,P
265.0,52.020105,4.268677,4.0,P
266.1,52.020105,4.268677,4.0,P
267.1,52.020105,4.268677,4.0,P
268.1,52.020105,4.268677,4.0,P
269.2,52.020105,4.268677,4.0,P
270.1,52.020105,4.268677,4.0,P
271.2,52.020105,4.268677,4.0,P
272.1,52.020105,4.268677,4.0,P
273.1,52.020105,4.268677,4.0,P
274.3,52.020105,4.268677,4.0,P
275.3,52.020105,4.268677,4.0,P
276.2,52.020105,4.268677,4.0,P
277.1,52.020105,4.268677,4.0,P
278.1,52.020105,4.268677,4.0,P
279.1,52.020105,4.268677,4.0,P
280.0,52.020105,4.268677,4.0,P
281.4,52.020105,4.268677,4.0,P
283.3,52.020105,4.268677,4.0,P
284.1,52.020105,4.268677,4.0,P
285.0,52.020105,4.268677,4.0,P
286.3,52.020105,4.268677,4.0,P
287.1,52.020105,4.268677,4.0,P
288.1,52.020105,4.268677,4.0,P
289.1,52.020105,4.268677,4.0,P
290.1,52.020105,4.268677,4.0,P
291.1,52.020105,4.268677,4.0,P
292.1,52.020105,4.268677,4.0,P
293.1,52.020105,4.268677,4.0,P
294.1,52.020105,4.268677,4.0,P
295.1,52.020105,4.268677,4.0,P
296.2,52.020105,4.268677,4.0,P
297.0,52.020105,4.268677,4.0,P
298.1,52.020105,4.268677,4.0,P
299.1,52.020105,4.268677,4.0,P
300.1,52.020105,4.268677,4.0,P
301.2,52.020105,4.268677,4.0,P
302.1,52.020105,4.268677,4.0,P
303.1,52.020105,4.268677,4.0,P
304.0,52.020105,4.268677,4.0,P
305.3,52.020105,4.268677,4.0,P
